Activity_Id,Activities
A303,"Explore the beijing garden expo park, Visit the cctv headquarters, Enjoy the views from the beijing lufthansa center."
A304,"Explore the indoor sanlitun village, Visit the national museum of modern chinese literature, Enjoy a spa day at the chaoyang park."
A305,"Swim at the tuanjiehu park pool, Visit the outdoor wangjing soho, Explore the liyuan library."
A306,"Visit the beijing underwater world, Explore the china red sandalwood museum, Enjoy the cool environment at the indoor zhongshan park."
A307,"Visit the museo evita, Explore the fundación proa in la boca, Enjoy a jazz night at notorious."
A308,"Walk through the parque centenario, Visit the outdoor feria de mataderos, Explore the el rosedal rose garden."
A309,"Tour the museo de arte hispanoamericano isaac fernández blanco, Visit the palermo hollywood district, Explore the mercado de san telmo."
A310,"Explore the museo de arte moderno de buenos aires, Visit the espacio fundación telefónica, Enjoy shopping at patio bullrich."
A311,"Troll along the avenida de mayo, Visit the outdoor floralis genérica sculpture, Explore the jardín japonés."
A312,"Visit the museo de arte contemporáneo de buenos aires (macba), Explore the abasto shopping center, Enjoy the views from the puente de la mujer."
A313,"Visit the centro cultural kirchner, Explore the museo de arte tigre, Enjoy a concert at the teatro gran rex."
A314,"Bike through the costanera sur ecological reserve, Visit the outdoor plaza francia, Explore the barrio chino."
A315,"Tour the museo nacional de arte decorativo, Visit the carlos gardel museum, Explore the plaza dorrego."
A316,"Explore the museo quinquela martín, Visit the usina del arte, Enjoy an art exhibit at the centro cultural borges."
A317,"Relax at the parque de la memoria, Visit the outdoor mamba (museo de arte moderno de buenos aires), Explore the tigre delta."
A318,"Visit the museo histórico nacional, Explore the cabildo de buenos aires, Enjoy the outdoor market at feria de san pedro telmo."
A319,"Visit the museo de los niños, Explore the galería güemes, Enjoy the indoor mercado de pulgas."
A320,"Sunbathe at the parque norte, Visit the outdoor parque rivadavia, Explore the puerto de frutos market in tigre."
A321,"Explore the museo de calcos y escultura comparada, Visit the outdoor paseo del rosedal, Enjoy a river cruise on the río de la plata."
A322,"Explore the indoor galería bond street, Visit the centro cultural recoleta, Enjoy a film at the cine gaumont."
A323,"Swim at the parque sarmiento pool, Visit the outdoor parque de la costa, Explore the ecological reserve reserva ecológica costanera sur."
A324,"Visit the planetario galileo galilei, Explore the museo de artes plásticas eduardo sívori, Enjoy the cool environment at the buenos aires japanese gardens."
A325,"Visit the leopold museum, Explore the museum of illusions, Enjoy a concert at the wiener konzerthaus."
A326,"Walk through the snowy rathausplatz, Visit the outdoor christmas markets, Explore the augarten park."
A327,"Tour the hofburg imperial palace, Visit the butterfly house (schmetterlinghaus), Explore the spittelberg quarter."
A328,"Explore the vienna technical museum, Visit the freud museum, Enjoy shopping at the ringstrassen galerien."
A329,"Stroll along the danube canal, Visit the outdoor kahlenberg hill, Explore the grinzing district"
A330,"Visit the mak - austrian museum of applied arts, Explore the hundertwasser house, Enjoy the views from the wiener riesenrad."
A331,"Visit the sigmund freud museum, Explore the vienna crime museum, Enjoy a jazz night at porgy & bess."
A332,"Bike through the donauinsel, Visit the outdoor lainzer tiergarten, Explore the schmetterlinghaus (butterfly house)."
A333,"Tour the schönbrunn zoo, Visit the museum of military history, Explore the seegrotte hinterbrühl (underground cave)."
A334,"Explore the house of music (haus der musik), Visit the mumok (museum moderner kunst), Enjoy an art exhibit at the albertina modern."
A335,"Relax at the alte donau (old danube), Visit the outdoor türkenschanzpark, Explore the heiligenstadt district."
A336,"Visit the beethoven pasqualatihaus, Explore the wiener prater, Enjoy the outdoor markets like brunnenmarkt."
A337,"Visit the chocolate museum vienna, Explore the indoor donau zentrum shopping center, Enjoy the indoor time travel vienna."
A338,"Sunbathe at the gänsehäufel beach, Visit the outdoor baden bei wien, Explore the lobau part of the donau-auen national park."
A339,"Explore the zentralfriedhof (central cemetery), Visit the otto wagner pavilion, Enjoy a boat tour on the danube river."
A340,"Explore the indoor gasometer city, Visit the wuk (workshop and culture house), Enjoy a film at the gartenbaukino."
A341,"Swim at the krapfenwaldlbad, Visit the outdoor hermesvilla, Explore the donaupark."
A342,"Visit the johann strauss museum, Explore the karl marx-hof, Enjoy the cool environment at the therme wien spa."
A343,"Visit the soumaya museum, Explore the museo jumex, Enjoy a concert at el plaza condesa."
A344,"Walk through the snowy parque méxico, Visit the outdoor mercado de coyoacán, Explore the zócalo."
A345,"Tour the museo dolores olmedo, Visit the los dinamos national park, Explore the san ángel neighborhood."
A346,"Explore the papalote museo del niño (children's museum), Visit the cineteca nacional, Enjoy shopping at the reforma 222 mall."
A347,"Stroll along the paseo de la reforma, Visit the outdoor bazar del sábado, Explore the tlatelolco archaeological site."
A348,"Visit the museo de arte popular, Explore the la lagunilla market, Enjoy the views from mirador torre latino."
A349,"Visit the museo nacional de arte (munal), Explore the polyforum cultural siqueiros, Enjoy a performance at the teatro de la ciudad esperanza iris."
A350,"Bike through the bosque de chapultepec, Visit the outdoor tianguis cultural del chopo, Explore the universidad nacional autónoma de méxico (unam) campus."
A351,"Tour the museo de la luz (museum of light), Visit the parque masayoshi ohira, Explore the plaza de las tres culturas."
A352,"Explore the interactive museum of economics (mide), Visit the museo franz mayer, Enjoy an art exhibit at the muac (museo universitario arte contemporáneo)."
A353,"Relax at the parque ecológico de xochimilco, Visit the outdoor plaza garibaldi, Explore the santa maría la ribera neighborhood."
A354,"Visit the museo tamayo arte contemporáneo, Explore the bazar fusión, Enjoy a show at the centro cultural del bosque."
A355,"Visit the museo de la ciudad de méxico, Explore the galería plaza de las estrellas, Enjoy the indoor kidzania cuicuilco."
A356,"Sunbathe at the alameda central, Visit the outdoor ciudad universitaria sculpture space, Explore the canal nacional."
A357,"Explore the museo memoria y tolerancia, Visit the el ángel de la independencia, Enjoy a boat tour on the xochimilco canals."
A358,"Explore the indoor mercado roma, Visit the centro de la imagen, Enjoy a film at the cinemex reforma."
A359,"Swim at the balneario elba, Visit the outdoor viveros de coyoacán, Explore the parque hundido."
A360,"Visit the biblioteca vasconcelos, Explore the mercado de jamaica, Enjoy the cool environment at the parque nacional desierto de los leones."
A361,"Visit the garage museum of contemporary art, Explore the museum of cosmonautics, Enjoy a concert at the moscow international house of music."
A362,"Walk through the snowy red square, Visit the outdoor izmailovo kremlin, Explore the kuskovo estate."
A363,"Tour the diamond fund, Visit the state historical museum, Explore the moscow zoo."
A364,"Explore the jewish museum and tolerance center, Visit the moscow museum of modern art, Enjoy shopping at the tsvetnoy central market."
A365,"Stroll along the moskva river, Visit the outdoor vdnkh (exhibition of achievements of national economy), Explore the tsaritsyno park"
A366,"Visit the victory museum, Explore the arbat street, Enjoy the views from the ostankino tower."
A367,"Visit the multimedia art museum, Explore the state darwin museum, Enjoy a performance at the stanislavski and nemirovich-danchenko moscow academic music theatre."
A368,"Bike through the neskuchny garden, Visit the outdoor patriarch's ponds, Explore the aptekarskiy ogorod botanical garden."
A369,"Tour the museum of soviet arcade machines, Visit the bunker-42 cold war museum, Explore the fallen monument park."
A370,"Explore the lumiere brothers center for photography, Visit the new tretyakov gallery, Enjoy an art exhibit at the winzavod center for contemporary art."
A371,"Relax at the serebryany bor beach, Visit the outdoor muzeon park of arts, Explore the sparrow hills (vorobyovy gory)."
A372,"Visit the artplay design and architecture center, Explore the gorky park, Enjoy the outdoor markets like danilovsky market."
A373,"Visit the experimentanium museum of entertaining sciences, Explore the indoor central children's store on lubyanka, Enjoy the aquaring aqua park."
A374,"Sunbathe at the strogino beach, Visit the outdoor krutitsy metochion, Explore the hermitage garden."
A375,"Explore the zaryadye park, Visit the moscow planetarium, Enjoy a boat tour on the moskva river."
A376,"Explore the indoor aviapark shopping center, Visit the moscow paleontological museum, Enjoy a film at the karo 11 oktyabr cinema."
A377,"Swim at the klyazminskoye water storage reservoir, Visit the outdoor kolomenskoye museum-reserve, Explore the krasnaya presnya park."
A378,"Visit the moscow state integrated art and historical architectural and natural landscape museum-reserve, Explore the vdnkh, Enjoy the cool environment at the moscow ice sculpture gallery."
A379,"Visit the nehru science centre, Explore the jehangir art gallery, Enjoy a concert at the blue frog."
A380,"Walk through the powai lake area, Visit the outdoor global vipassana pagoda, Explore the kanheri caves."
A381,"Tour the taraporewala aquarium, Visit the chor bazaar, Explore the mahakali caves."
A382,"Explore the mani bhavan gandhi museum, Visit the bombay natural history society, Enjoy shopping at the phoenix marketcity."
A383,"Stroll along juhu beach, Visit the outdoor gorai beach, Explore the esselworld amusement park."
A384,"Visit the aksa beach, Explore the versova fish market, Enjoy the views from gilbert hill."
A385,"Visit the rhythm art gallery, Explore the monetary museum, Enjoy a performance at prithvi theatre."
A386,"Bike through the aarey milk colony, Visit the outdoor maharashtra nature park, Explore the sewri fort."
A387,"Tour the rbi monetary museum, Visit the iskcon temple, Explore the crawford market."
A388,"Explore the bhau daji lad museum, Visit the csmvs children's museum, Enjoy an art exhibit at the gallery maskara."
A389,"Relax at the madh island beach, Visit the outdoor hanging gardens (pherozeshah mehta gardens), Explore the jijamata udyan zoo."
A390,"Visit the shree siddhivinayak temple, Explore the kamala nehru park, Enjoy the outdoor carter road promenade."
A391,"Visit the red carpet wax museum, Explore the kidzania mumbai, Enjoy the indoor snow world mumbai."
A392,"Sunbathe at girgaum chowpatty, Visit the outdoor sanjay gandhi national park, Explore the rajabai clock tower."
A393,"Explore the fashion street market, Visit the mount mary church, Enjoy a boat tour from the gateway of india."
A394,"Explore the indoor high street phoenix mall, Visit the nehru centre, Enjoy a film at the regal cinema."
A395,"Swim at the marve beach, Visit the outdoor worli fort, Explore the haji ali dargah."
A396,"Visit the maharashtra nature park society, Explore the dadar flower market, Enjoy the cool environment at the upvan lake."
A397,"Visit the museum of cycladic art, Explore the goulandris museum of natural history, Enjoy a concert at the athens concert hall (megaron mousikis)."
A398,"Walk through the snowy national garden, Visit the outdoor stavros niarchos foundation cultural center, Explore the kaisariani monastery."
A399,"Tour the war museum of athens, Visit the hellenic motor museum, Explore the flisvos marina."
A400,"Explore the numismatic museum, Visit the ilias lalaounis jewelry museum, Enjoy shopping at the mall athens."
A401,"Stroll along the athens riviera, Visit the outdoor allou fun park, Explore the filopappou hill."
A402,"Visit the athens planetarium, Explore the technopolis city of athens, Enjoy the views from the areopagus hill."
A403,"Visit the athens war museum, Explore the museum of islamic art, Enjoy a performance at the national theatre of greece."
A404,"Bike through the faliro coastal zone, Visit the outdoor lake vouliagmeni, Explore the parnitha national park."
A405,"Tour the eleftherios venizelos historical museum, Visit the open-air cinema at cine paris, Explore the streets of exarchia."
A406,"Explore the electric railways museum of piraeus, Visit the frissiras museum of contemporary greek and european painting, Enjoy an art exhibit at the athens school of fine arts."
A407,"Relax at the varkiza beach, Visit the outdoor tatoi royal estate, Explore the schinias olympic rowing and canoeing centre."
A408,"Visit the dora stratou greek dances theatre, Explore the alsos syngrou park, Enjoy the outdoor markets like varvakios agora."
A409,"Visit the epigraphic museum, Explore the herakleidon museum, Enjoy the indoor hellenic children's museum."
A410,"Sunbathe at the edem beach, Visit the outdoor sounion temple, Explore the attica zoological park."
A411,"Explore the botanical garden diomedes, Visit the outdoor minotaur maze, Enjoy a boat tour around the saronic gulf."
A412,"Explore the indoor greek folk art museum, Visit the museum of the ancient agora, Enjoy a spa day at the hammam baths."
A413,"Swim at the astir beach, Visit the outdoor plato's academy park, Explore the averof ship museum."
A414,"Visit the tactual museum of athens, Explore the galatsi olympic hall, Enjoy the cool environment at the adventure park malakasa."
A415,"Visit the alte nationalgalerie, Explore the ddr museum, Enjoy a concert at the konzerthaus berlin."
A416,"Walk through the snowy grunewald forest, Visit the outdoor gendarmenmarkt christmas market, Explore the schloss bellevue."
A417,"Tour the berliner unterwelten (berlin underworlds), Visit the spandau citadel, Explore the kulturforum."
A418,"Explore the jewish museum berlin, Visit the neues museum, Enjoy shopping at the mall of berlin."
A419,"Stroll along the landwehr canal, Visit the outdoor soviet war memorial, Explore the viktoriapark."
A420,"Visit the berlin dungeon, Explore the botanical garden and botanical museum, Enjoy the views from the panoramapunkt."
A421,"Visit the deutsches technikmuseum (german museum of technology), Explore the bode museum, Enjoy a performance at the berlin state opera."
A422,"Bike through the tempelhof park, Visit the outdoor berlin wall memorial, Explore the treptower park."
A423,"Tour the museum island, Visit the berlin cathedral, Explore the kunstgewerbemuseum (museum of decorative arts)."
A424,"Explore the martin-gropius-bau, Visit the museum für fotografie (museum of photography), Enjoy an art exhibit at the hamburger bahnhof."
A425,"Relax at the wannsee beach, Visit the outdoor körnerpark, Explore the zoologischer garten berlin."
A426,"Visit the haus der kulturen der welt, Explore the nikolaiviertel, Enjoy the outdoor markets like the turkish market."
A427,"Visit the urban nation museum for contemporary art, Explore the indoor bikini berlin shopping center, Enjoy the indoor aquadom & sea life berlin."
A428,"Sunbathe at the strandbad müggelsee, Visit the outdoor britzer garten, Explore the pfaueninsel (peacock island)."
A429,"Explore the berlin zoo aquarium, Visit the outdoor mauerpark karaoke, Enjoy a boat tour on the landwehrkanal."
A430,"Explore the indoor alexa shopping center, Visit the computerspielemuseum (computer game museum), Enjoy a film at the kino international."
A431,"Swim at the badeschiff floating pool, Visit the outdoor volkspark friedrichshain, Explore the lichtenberg district."
A432,"Visit the humboldt forum, Explore the indoor naturkundemuseum (natural history museum), Enjoy the cool environment at the berlin icebar."
A433,"Visit the pinball hall of fame, Explore the titanic: the artifact exhibition, Enjoy a show at the colosseum at caesars palace."
A434,"Explore the ethel m chocolate factory and botanical cactus garden, Visit the outdoor clark county wetlands park, Stroll through the historic railroad trail."
A435,"Tour the zak bagans' the haunted museum, Visit the las vegas natural history museum, Explore the tivoli village."
A436,"Explore the las vegas art museum, Visit the bodies the exhibition, Enjoy shopping at the las vegas north premium outlets."
A437,"Stroll along the linq promenade, Visit the outdoor lake las vegas, Explore the sloan canyon national conservation area."
A438,"Visit the national atomic testing museum, Explore the town square las vegas, Enjoy the views from the eiffel tower viewing deck."
A439,"Visit the hollywood cars museum, Explore the discovery children's museum, Enjoy a concert at the t-mobile arena."
A440,"Bike through the valley of fire state park, Visit the outdoor springs preserve, Explore the mount charleston wilderness area."
A441,"Tour the las vegas motor speedway, Visit the michael jackson one by cirque du soleil, Explore the downtown summerlin."
A442,"Explore the adventuredome indoor theme park, Visit the escape reality las vegas, Enjoy an art exhibit at the aria fine art collection."
A443,"Relax at the mandalay bay beach, Visit the outdoor floyd lamb park, Explore the las vegas wash trail."
A444,"Visit the wynn golf club, Explore the siegfried & roy's secret garden and dolphin habitat, Enjoy a helicopter tour over the city."
A445,"Visit the madame tussauds las vegas, Explore the indoor grand canal shoppes, Enjoy the seaquest las vegas."
A446,"Sunbathe at the wet'n'wild las vegas, Visit the outdoor calico basin red springs, Explore the flamingo wildlife habitat."
A447,"Explore the big bus las vegas hop-on hop-off tour, Visit the mirage volcano, Enjoy a gondola ride at the venetian."
A448,"Explore the indoor miracle mile shops at planet hollywood, Visit the kiss by monster mini golf, Enjoy a film at the regal cinemas red rock 16 & imax."
A449,"Swim at the cowabunga bay water park, Visit the outdoor bonnie springs ranch, Explore the lion habitat ranch."
A450,"Visit the axe monkeys, Explore the las vegas mini gran prix family fun center, Enjoy the cool environment at the minus5 ice experience."
A451,"Visit bass museum of art, Miami children's museum, Indoor shopping at brickell city centre."
A452,"Walk in miami beach botanical garden, Visit holocaust memorial, Explore oleta river state park."
A453,"Tour miami seaquarium, Visit american airlines arena, Explore little havana."
A454,"Explore wolfsonian-fiu, Historymiami museum, Shopping at the shops at midtown miami."
A455,"Stroll miami riverwalk, Visit bayfront park, Explore matheson hammock park."
A456,"Visit deering estate, Coral castle, Enjoy views from miami tower."
A457,"Visit museum of contemporary art north miami, Coral gables museum, Concert at fillmore miami beach."
A458,"Bike in virginia key outdoor center, Visit venetian pool, Explore crandon park."
A459,"Tour pérez art museum miami, Visit miami design district, Domino park."
A460,"Explore frost art museum, Lowe art museum, Show at olympia theater."
A461,"Relax at haulover beach park, Miami beach botanical garden, Greynolds park."
A462,"Visit ancient spanish monastery, Lummus park beach, Lincoln road mall."
A463,"Visit world erotic art museum, Wings over miami air museum, Phillip and patricia frost museum of science."
A464,"Sunbathe at south beach, Visit key biscayne, Bill baggs cape florida state park."
A465,"Miami beach architectural district, Fairchild tropical botanic garden, Boat tour in miami bayside bluffs."
A466,"Indoor aventura mall, Miami museum of illusions, Tower theater miami."
A467,"Crandon park beach, The kampong, National tropical botanical garden, Tropical park."
A468,"Skyviews miami observation wheel, Downtown miami, Venetian pool."
