City,MinTemp_MaxTemp,MinTemp,MaxTemp,Rain,Activities
Rio de Janeiro,-35 to 0,-35,0,May Rain,"Art gallery visits at Copacabana Beach, Cultural center exploration at Copacabana Beach, Bookstore hopping at Copacabana Beach, Indoor food markets at Copacabana Beach, Historical church tours at Copacabana Beach"
Rio de Janeiro,1 to 5,1,5,Raining,"Indoor aquarium visits at Museum of Tomorrow, Mall shopping at Museum of Tomorrow, Movie theater visits at Museum of Tomorrow, Art workshops at Museum of Tomorrow, Culinary classes at Museum of Tomorrow"
Rio de Janeiro,1 to 5,1,5,Not Raining,"City walking tours at Copacabana Beach, Botanical garden visits at Copacabana Beach, Street food tasting at Copacabana Beach, Local craft market visits at Copacabana Beach, Historical monument tours at Copacabana Beach"
Rio de Janeiro,1 to 5,1,5,May Rain,"Museum visits at Copacabana Beach, Coffee shop hopping at Copacabana Beach, Antique shop exploration at Copacabana Beach, Artisan bakery tours at Copacabana Beach, Photography walks at Copacabana Beach"
Rio de Janeiro,6 to 20,6,20,Raining,"Indoor sports activities at Museum of Tomorrow, Library visits at Museum of Tomorrow, Art exhibits at Museum of Tomorrow, Science museum exploration at Museum of Tomorrow, Indoor rock climbing at Museum of Tomorrow"
Rio de Janeiro,6 to 20,6,20,Not Raining,"City biking tours at Copacabana Beach, Park picnics at Copacabana Beach, Outdoor food festivals at Copacabana Beach, River cruises at Copacabana Beach, Historical walking tours at Copacabana Beach"
Rio de Janeiro,6 to 20,6,20,May Rain,"Botanical garden visits at Copacabana Beach, Flea market shopping at Copacabana Beach, Outdoor sculpture exhibits at Copacabana Beach, Cultural district exploration at Copacabana Beach, Historical church visits at Copacabana Beach"
Rio de Janeiro,21 to 27,21,27,Raining,"Indoor cultural shows at Museum of Tomorrow, Shopping in local markets at Museum of Tomorrow, Movie marathon in theaters at Museum of Tomorrow, Cooking workshops at Museum of Tomorrow, Interactive museum visits at Museum of Tomorrow"
Rio de Janeiro,21 to 27,21,27,Not Raining,"Beach activities at Copacabana Beach, Outdoor concerts at Copacabana Beach, City rooftop dining at Copacabana Beach, Scenic hikes at Copacabana Beach, Historical castle tours at Copacabana Beach"
Rio de Janeiro,21 to 27,21,27,May Rain,"Outdoor art exhibits at Copacabana Beach, Garden tours at Copacabana Beach, Riverfront walks at Copacabana Beach, Cultural festival participation at Copacabana Beach, Scenic photography tours at Copacabana Beach"
Rio de Janeiro,28 to 35,28,35,Raining,"Indoor water parks at Museum of Tomorrow, Shopping centers at Museum of Tomorrow, Spa days at Museum of Tomorrow, Culinary tasting tours at Museum of Tomorrow, Historical museum visits at Museum of Tomorrow"
Rio de Janeiro,28 to 35,28,35,Not Raining,"Water sports at Copacabana Beach, Beach parties at Copacabana Beach, Sunset cruises at Copacabana Beach, Island hopping at Copacabana Beach, Seafood market visits at Copacabana Beach"
Rio de Janeiro,28 to 35,28,35,May Rain,"Outdoor cafes at Copacabana Beach, City bike rides at Copacabana Beach, Park sports activities at Copacabana Beach, Street art tours at Copacabana Beach, Local brewery tours at Copacabana Beach"
Rio de Janeiro,36 to 50,36,50,Raining,"Indoor cooling centers at Museum of Tomorrow, Ice cream parlor tours at Museum of Tomorrow, Aquarium visits at Museum of Tomorrow, Shopping in air-conditioned malls at Museum of Tomorrow, Movie watching in theaters at Museum of Tomorrow"
Rio de Janeiro,36 to 50,36,50,Not Raining,"Early morning desert tours at Copacabana Beach, Sunrise viewings at Copacabana Beach, Oasis visits at Copacabana Beach, Indoor cultural activities at Copacabana Beach, Dawn wildlife watching at Copacabana Beach"
Rio de Janeiro,36 to 50,36,50,May Rain,"Indoor planetarium visits at Copacabana Beach, Cooling spa experiences at Copacabana Beach, Artistic workshops at Copacabana Beach, Cultural center explorations at Copacabana Beach, Indoor botanical gardens at Copacabana Beach"
Toronto,-35 to 0,-35,0,Raining,"Indoor museum tours at Royal Ontario Museum, Historical theater visits at Royal Ontario Museum, Coffee shop exploration at Royal Ontario Museum, Indoor ice skating at Royal Ontario Museum, Library visits at Royal Ontario Museum"
Toronto,-35 to 0,-35,0,Not Raining,"Snow sculpture viewing at CN Tower, Winter market visits at CN Tower, Hot chocolate tasting at local cafes at CN Tower, Indoor botanical garden at CN Tower, Historical building tours at CN Tower"
Toronto,-35 to 0,-35,0,May Rain,"Art gallery visits at CN Tower, Cultural center exploration at CN Tower, Bookstore hopping at CN Tower, Indoor food markets at CN Tower, Historical church tours at CN Tower"
Toronto,1 to 5,1,5,Raining,"Indoor aquarium visits at Royal Ontario Museum, Mall shopping at Royal Ontario Museum, Movie theater visits at Royal Ontario Museum, Art workshops at Royal Ontario Museum, Culinary classes at Royal Ontario Museum"
Toronto,1 to 5,1,5,Not Raining,"City walking tours at CN Tower, Botanical garden visits at CN Tower, Street food tasting at CN Tower, Local craft market visits at CN Tower, Historical monument tours at CN Tower"
Toronto,1 to 5,1,5,May Rain,"Museum visits at CN Tower, Coffee shop hopping at CN Tower, Antique shop exploration at CN Tower, Artisan bakery tours at CN Tower, Photography walks at CN Tower"
Toronto,6 to 20,6,20,Raining,"Indoor sports activities at Royal Ontario Museum, Library visits at Royal Ontario Museum, Art exhibits at Royal Ontario Museum, Science museum exploration at Royal Ontario Museum, Indoor rock climbing at Royal Ontario Museum"
Toronto,6 to 20,6,20,Not Raining,"City biking tours at CN Tower, Park picnics at CN Tower, Outdoor food festivals at CN Tower, River cruises at CN Tower, Historical walking tours at CN Tower"
Toronto,6 to 20,6,20,May Rain,"Botanical garden visits at CN Tower, Flea market shopping at CN Tower, Outdoor sculpture exhibits at CN Tower, Cultural district exploration at CN Tower, Historical church visits at CN Tower"
Toronto,21 to 27,21,27,Raining,"Indoor cultural shows at Royal Ontario Museum, Shopping in local markets at Royal Ontario Museum, Movie marathon in theaters at Royal Ontario Museum, Cooking workshops at Royal Ontario Museum, Interactive museum visits at Royal Ontario Museum"
Toronto,21 to 27,21,27,Not Raining,"Beach activities at CN Tower, Outdoor concerts at CN Tower, City rooftop dining at CN Tower, Scenic hikes at CN Tower, Historical castle tours at CN Tower"
Toronto,21 to 27,21,27,May Rain,"Outdoor art exhibits at CN Tower, Garden tours at CN Tower, Riverfront walks at CN Tower, Cultural festival participation at CN Tower, Scenic photography tours at CN Tower"
Toronto,28 to 35,28,35,Raining,"Indoor water parks at Royal Ontario Museum, Shopping centers at Royal Ontario Museum, Spa days at Royal Ontario Museum, Culinary tasting tours at Royal Ontario Museum, Historical museum visits at Royal Ontario Museum"
Toronto,28 to 35,28,35,Not Raining,"Water sports at CN Tower, Beach parties at CN Tower, Sunset cruises at CN Tower, Island hopping at CN Tower, Seafood market visits at CN Tower"
Toronto,28 to 35,28,35,May Rain,"Outdoor cafes at CN Tower, City bike rides at CN Tower, Park sports activities at CN Tower, Street art tours at CN Tower, Local brewery tours at CN Tower"
Toronto,36 to 50,36,50,Raining,"Indoor cooling centers at Royal Ontario Museum, Ice cream parlor tours at Royal Ontario Museum, Aquarium visits at Royal Ontario Museum, Shopping in air-conditioned malls at Royal Ontario Museum, Movie watching in theaters at Royal Ontario Museum"
Toronto,36 to 50,36,50,Not Raining,"Early morning desert tours at CN Tower, Sunrise viewings at CN Tower, Oasis visits at CN Tower, Indoor cultural activities at CN Tower, Dawn wildlife watching at CN Tower"
Toronto,36 to 50,36,50,May Rain,"Indoor planetarium visits at CN Tower, Cooling spa experiences at CN Tower, Artistic workshops at CN Tower, Cultural center explorations at CN Tower, Indoor botanical gardens at CN Tower"
Mumbai,-35 to 0,-35,0,Raining,"Indoor museum tours at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Historical theater visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Coffee shop exploration at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Indoor ice skating at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Library visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya"
Mumbai,-35 to 0,-35,0,Not Raining,"Snow sculpture viewing at Gateway of India, Winter market visits at Gateway of India, Hot chocolate tasting at local cafes at Gateway of India, Indoor botanical garden at Gateway of India, Historical building tours at Gateway of India"
Mumbai,-35 to 0,-35,0,May Rain,"Art gallery visits at Gateway of India, Cultural center exploration at Gateway of India, Bookstore hopping at Gateway of India, Indoor food markets at Gateway of India, Historical church tours at Gateway of India"
Mumbai,1 to 5,1,5,Raining,"Indoor aquarium visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Mall shopping at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Movie theater visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Art workshops at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Culinary classes at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya"
Mumbai,1 to 5,1,5,Not Raining,"City walking tours at Gateway of India, Botanical garden visits at Gateway of India, Street food tasting at Gateway of India, Local craft market visits at Gateway of India, Historical monument tours at Gateway of India"
Mumbai,1 to 5,1,5,May Rain,"Museum visits at Gateway of India, Coffee shop hopping at Gateway of India, Antique shop exploration at Gateway of India, Artisan bakery tours at Gateway of India, Photography walks at Gateway of India"
Mumbai,6 to 20,6,20,Raining,"Indoor sports activities at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Library visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Art exhibits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Science museum exploration at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Indoor rock climbing at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya"
Mumbai,6 to 20,6,20,Not Raining,"City biking tours at Gateway of India, Park picnics at Gateway of India, Outdoor food festivals at Gateway of India, River cruises at Gateway of India, Historical walking tours at Gateway of India"
Mumbai,6 to 20,6,20,May Rain,"Botanical garden visits at Gateway of India, Flea market shopping at Gateway of India, Outdoor sculpture exhibits at Gateway of India, Cultural district exploration at Gateway of India, Historical church visits at Gateway of India"
Mumbai,21 to 27,21,27,Raining,"Indoor cultural shows at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Shopping in local markets at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Movie marathon in theaters at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Cooking workshops at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Interactive museum visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya"
Mumbai,21 to 27,21,27,Not Raining,"Beach activities at Gateway of India, Outdoor concerts at Gateway of India, City rooftop dining at Gateway of India, Scenic hikes at Gateway of India, Historical castle tours at Gateway of India"
Mumbai,21 to 27,21,27,May Rain,"Outdoor art exhibits at Gateway of India, Garden tours at Gateway of India, Riverfront walks at Gateway of India, Cultural festival participation at Gateway of India, Scenic photography tours at Gateway of India"
Mumbai,28 to 35,28,35,Raining,"Indoor water parks at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Shopping centers at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Spa days at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Culinary tasting tours at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Historical museum visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya"
Mumbai,28 to 35,28,35,Not Raining,"Water sports at Gateway of India, Beach parties at Gateway of India, Sunset cruises at Gateway of India, Island hopping at Gateway of India, Seafood market visits at Gateway of India"
Mumbai,28 to 35,28,35,May Rain,"Outdoor cafes at Gateway of India, City bike rides at Gateway of India, Park sports activities at Gateway of India, Street art tours at Gateway of India, Local brewery tours at Gateway of India"
Mumbai,36 to 50,36,50,Raining,"Indoor cooling centers at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Ice cream parlor tours at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Aquarium visits at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Shopping in air-conditioned malls at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Movie watching in theaters at Chhatrapati Shivaji Maharaj Vastu Sangrahalaya"
Mumbai,36 to 50,36,50,Not Raining,"Early morning desert tours at Gateway of India, Sunrise viewings at Gateway of India, Oasis visits at Gateway of India, Indoor cultural activities at Gateway of India, Dawn wildlife watching at Gateway of India"
Mumbai,36 to 50,36,50,May Rain,"Indoor planetarium visits at Gateway of India, Cooling spa experiences at Gateway of India, Artistic workshops at Gateway of India, Cultural center explorations at Gateway of India, Indoor botanical gardens at Gateway of India"
